Data,PGNiG,PKOBP,KGHM,ORANGE_PL,PKN
1/5/09,2.9816,26.291,15.553,11.428,22.496
1/6/09,3.0694,26.917,16.827,11.438,23.178
1/7/09,3.0853,26.615,16.925,11.438,22.373
1/8/09,3.0694,25.802,16.879,11.321,22.928
1/9/09,2.9497,24.693,16.676,11.087,22.014
1/12/09,2.9896,23.738,16.064,11.232,21.815
1/13/09,2.9896,23.018,15.869,11.327,21.849
1/14/09,2.9896,21.573,15.095,11.288,21.167
1/15/09,2.9419,21.212,15.196,11.46,20.752
1/16/09,2.9419,21.94,15.925,11.489,20.769
1/19/09,2.8542,21.292,16.164,11.16,19.605
1/20/09,2.9497,20.717,16.125,11.438,19.522
1/21/09,3.0215,21.565,15.956,11.717,20.354
1/22/09,3.0215,21.363,14.33,11.544,19.107
1/23/09,3.0773,20.392,14.024,11.656,19.441
1/26/09,3.0853,21.501,15.732,11.456,19.73
1/27/09,2.9737,20.522,14.839,11.382,18.758
1/28/09,3.0055,21.185,15.196,11.27,19.107
1/29/09,2.9977,20.853,15.369,11.131,18.36
1/30/09,3.0297,19.997,15.349,11.019,18.608
2/2/09,3.0135,18.919,14.779,11.019,17.728
2/3/09,2.9896,17.623,14.839,10.881,16.416
2/4/09,2.9816,17.551,16.064,10.658,17.279
2/5/09,2.9419,17.696,16.574,10.54,17.778
2/6/09,2.7664,18.342,17.848,10.462,18.857
2/9/09,2.7984,19.422,19.097,10.658,19.107
2/10/09,2.7984,19.242,18.654,10.769,19.064
2/11/09,2.7824,18.782,17.389,10.658,18.692
2/12/09,2.7744,17.948,16.574,10.595,18.218
2/13/09,2.7424,18.055,17.108,10.652,17.778
2/16/09,2.6388,16.63,17.593,10.512,17.229
2/17/09,2.583,14.717,16.827,10.044,16.041
2/18/09,2.6708,14.257,17.287,10.099,17.237
2/19/09,2.7266,15.106,17.261,10.333,18.152
2/20/09,2.7106,14.401,16.833,10.322,18.152
2/23/09,2.6308,13.919,17.236,10.044,18.277
2/24/09,2.7266,13.624,16.956,10.239,18.277
2/25/09,2.7185,13.595,16.634,10.099,17.62
2/26/09,2.8222,14.135,18.103,9.965,17.82
2/27/09,2.7504,13.803,17.415,9.876,17.114
3/2/09,2.7824,13.667,17.95,10.128,17.479
3/3/09,2.8222,13.954,18.867,9.993,17.902
3/4/09,2.7824,14.854,21.29,10.044,18.593
3/5/09,2.7903,14.545,21.366,9.965,18.235
3/6/09,2.8302,15.041,22.217,10.099,18.485
3/9/09,2.7903,14.818,21.443,10.071,18.194
3/10/09,2.7266,15.608,22.488,10.054,18.218
3/11/09,2.7504,15.753,22.387,10.462,18.485
3/12/09,2.7664,16.005,21.98,10.5,18.292
3/13/09,2.6868,16.113,21.672,10.456,17.852
3/16/09,2.7106,16.479,22.667,10.618,18.002
3/17/09,2.6388,15.998,22.183,10.233,17.638
3/18/09,2.6548,15.551,21.837,10.049,17.437
3/19/09,2.7585,15.94,23.044,10.385,17.662
3/20/09,2.8144,16.177,23.468,10.322,17.944
3/23/09,2.7345,16.904,25.192,10.546,18.284
3/24/09,2.7504,16.796,25.523,10.579,18.152
3/25/09,2.8302,17.601,25.497,11.16,20.644
3/26/09,2.8063,17.372,25.701,10.909,21.009
3/27/09,2.7984,16.537,23.662,10.692,20.104
3/30/09,2.7984,15.307,22.335,10.825,19.597
3/31/09,2.6868,15.408,23.3,10.49,19.771
4/1/09,2.6468,15.415,23.686,10.729,20.369
4/2/09,2.7345,16.653,26.007,10.909,22.039
4/3/09,2.8144,16.688,27.232,11.076,21.798
4/6/09,2.7585,17.473,27.435,11.27,21.176
4/7/09,2.6708,17.408,26.007,10.797,20.644
4/8/09,2.7504,18.703,27.027,10.931,22.014
4/9/09,2.7984,19.026,28.657,10.936,23.759
4/14/09,2.7106,19.515,29.78,10.495,23.551
4/15/09,2.7345,19.637,29.78,10.82,23.261
4/16/09,2.7903,19.551,29.118,10.83,22.73
4/17/09,2.8063,18.378,28.455,10.556,21.35
4/20/09,2.878,17.429,27.129,10.517,20.752
4/21/09,2.862,17.422,27.41,10.551,20.685
4/22/09,2.926,17.839,28.557,10.378,20.271
4/23/09,2.9338,17.933,28.097,10.574,21.002
4/24/09,2.9896,18.263,29.933,10.752,22.007
4/27/09,2.9737,18.27,29.271,10.546,21.607
4/28/09,2.9419,17.875,28.506,10.027,20.718
4/29/09,3.0135,18.695,29.857,9.758,21.6
4/30/09,3.0694,19.328,30.265,9.864,22.082
5/4/09,3.1092,20.357,32.126,10.016,23.344
5/5/09,3.1173,20.429,32.152,9.758,23.12
5/6/09,3.0933,20.314,31.999,9.793,22.504
5/7/09,3.0694,20.465,32.738,9.681,22.306
5/8/09,3.0694,20.141,35.697,9.737,22.928
5/11/09,3.0376,20.012,35.594,9.4128,22.43
5/12/09,3.0694,20.536,34.676,9.658,23.261
5/13/09,3.0455,20.105,33.35,9.876,22.014
5/14/09,3.0215,19.494,33.376,9.96,22.339
5/15/09,3.0215,19.242,34.165,9.887,22.115
5/18/09,3.0455,19.399,35.135,9.932,23.029
5/19/09,2.9977,19.709,36.383,9.965,23.992
5/20/09,3.1012,19.494,36.665,9.72,23.51
5/21/09,3.0853,19.047,35.594,9.4863,22.803
5/22/09,3.0694,18.788,35.798,9.2896,22.671
5/25/09,3.0694,18.738,35.543,9.2123,22.439
5/26/09,3.0534,18.803,35.95,9.2562,23.012
5/27/09,3.133,18.86,35.976,9.541,24.175
5/28/09,3.0215,18.415,35.569,9.564,23.677
5/29/09,3.0203,17.983,35.746,9.3192,24.091
6/1/09,3.1012,19.386,37.99,9.681,25.338
6/2/09,3.2687,19.349,39.062,9.764,27.157
6/3/09,3.2687,18.846,38.4,9.658,26.252
6/4/09,3.3484,19.242,38.807,9.876,26.5
6/5/09,3.3722,19.206,39.469,9.831,26.293
6/8/09,3.3883,18.164,38.449,9.899,25.006
6/9/09,3.468,17.631,39.979,9.868,25.754
6/10/09,3.508,18.415,42.579,9.819,25.754
6/12/09,3.5396,18.854,44.363,9.679,26.584
6/15/09,3.476,18.99,43.09,9.831,25.837
6/16/09,3.3804,19.07,43.701,9.819,25.338
6/17/09,3.2209,18.703,41.712,9.758,23.418
6/18/09,3.3962,18.703,41.687,9.661,23.386
6/19/09,3.3722,19.142,42.477,9.776,23.992
6/22/09,3.2447,18.523,38.756,9.2648,22.014
6/23/09,3.3563,18.523,38.4,9.3307,21.276
6/24/09,3.2767,18.307,40.948,9.4233,21.441
6/25/09,3.2049,17.975,41.305,9.3927,21.45
6/26/09,3.2287,18.164,42.582,9.2161,21.409
6/29/09,3.2287,18.954,42.733,9.2161,21.682
6/30/09,3.2368,18.342,41.56,9.3746,21.915
7/1/09,3.2527,18.839,42.275,9.575,22.181
7/2/09,3.189,18.378,40.284,9.698,21.183
7/3/09,3.1652,18.069,39.163,9.575,20.851
7/6/09,3.173,18.055,38.882,9.386,20.436
7/7/09,3.189,18.033,39.415,9.514,20.17
7/8/09,3.1173,18.119,40.032,9.746,20.478
7/9/09,3.1252,18.149,41.763,9.868,21.102
7/10/09,3.0933,18.164,40.158,9.521,20.354
7/13/09,3.1092,18.127,40.26,9.698,21.31
7/14/09,3.1492,19.573,42.445,9.758,22.264
7/15/09,3.2209,20.098,44.57,9.643,22.596
7/16/09,3.173,20.385,44.899,9.636,22.14
7/17/09,3.1173,20.573,45.439,9.3622,21.682
7/20/09,3.3563,21.796,47.833,9.4529,22.514
7/21/09,3.3962,22.155,47.894,9.636,23.244
7/22/09,3.3164,21.428,46.576,9.606,22.555
7/23/09,3.5238,21.687,48.611,9.636,23.677
7/24/09,3.4999,22.643,49.539,9.698,23.743
7/27/09,3.5478,23.018,50.287,9.569,23.103
7/28/09,3.4282,21.947,49.09,9.691,22.097
7/29/09,3.4282,22.083,48.492,9.1665,22.471
7/30/09,3.6434,23.738,51.395,9.2095,23.759
7/31/09,3.5493,23.961,51.785,9.0815,23.626
8/3/09,3.5956,23.918,55.616,9.1484,23.926
8/4/09,3.5238,23.45,57.322,9.093,23.427
8/5/09,3.3644,22.731,53.879,8.8428,22.763
8/6/09,3.4121,23.018,54.179,8.7762,22.928
8/7/09,3.4354,23.74,52.711,9.2944,23.884
8/10/09,3.4272,23.796,51.785,9.71,24.491
8/11/09,3.3164,22.658,48.79,9.91,23.261
8/12/09,3.2687,22.314,48.221,10.245,22.986
8/13/09,3.3325,23.299,50.827,10.185,23.626
8/14/09,3.2447,23.227,50.916,9.936,22.845
8/17/09,3.2401,22.026,49.239,9.4586,22.238
8/18/09,3.2238,22.507,50.048,9.63,22.106
8/19/09,3.2643,22.874,49.09,9.654,22.421
8/20/09,3.3867,23.665,51.275,9.758,22.795
8/21/09,3.468,25.169,53.251,10.003,23.751
8/24/09,3.4599,25.888,54.777,10.033,24.491
8/25/09,3.4599,25.967,54.179,10.063,24.491
8/26/09,3.4192,25.179,52.383,9.886,24.755
8/27/09,3.3704,25.536,50.287,9.758,24.358
8/28/09,3.2971,25.536,52.683,9.99,24.44
8/31/09,3.1504,25.393,51.245,9.819,24.258
9/1/09,3.175,25.605,51.185,9.965,23.759
9/2/09,3.0528,23.94,48.971,9.881,23.012
9/3/09,3.0203,23.235,49.689,10.003,23.053
9/4/09,3.0122,23.162,49.689,9.971,22.813
