Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-05-12,12.0171,12.3959,11.9854,12.3959,209842428.78613
2010-05-13,12.326,12.4598,12.1899,12.2928,52521017.747522
2010-05-14,12.2333,12.3959,12.1649,12.2237,30699699.524068
2010-05-17,11.9133,12.1539,11.8862,12.0863,27049070.842696
2010-05-18,12.0685,12.2164,12.0619,12.1539,16682973.57323
2010-05-19,12.0589,12.1135,11.9097,11.9097,26859653.771177
2010-05-20,11.8449,11.8795,11.3802,11.3972,30128580.455419
2010-05-21,11.3972,11.5861,11.2257,11.5861,15482648.132321
2010-05-24,11.5897,11.8619,11.5861,11.7928,13631148.475202
2010-05-25,11.5382,11.703,11.2934,11.3619,14752386.958271
2010-05-26,11.5111,12.1899,11.5111,12.1899,73872100.367171
2010-05-27,11.9825,12.1341,11.9472,12.0589,6934642.5354438
2010-05-28,12.0649,12.0994,11.9133,12.0516,4811675.8076807
2010-05-31,11.9133,12.0516,11.8112,12.0516,2169847.77932
2010-06-01,11.8927,12.0436,11.7244,12.003,7307146.7302557
2010-06-02,11.9449,12.0863,11.9171,12.034,6608221.1795985
2010-06-04,12.003,12.0863,11.7758,11.7758,6461730.811745
2010-06-07,11.5692,11.7928,11.5692,11.7068,5256254.3839658
2010-06-08,11.7133,11.8449,11.6729,11.6729,35373207.044054
2010-06-09,11.6964,11.9796,11.6383,11.9472,6424315.4464593
2010-06-10,11.8545,12.0965,11.8545,12.0516,9455824.8782194
2010-06-11,12.0311,12.0685,11.962,12.0171,11511295.728413
2010-06-14,12.0171,12.1715,11.9472,12.1097,4798696.3542316
2010-06-15,12.0516,12.1517,11.9936,12.1362,7768867.1598858
2010-06-16,12.1435,12.1715,11.9207,12.1341,9594445.9849824
2010-06-17,12.034,12.1892,12.0171,12.1751,8670455.7596462
2010-06-18,12.1414,12.3539,12.1414,12.3098,32337208.856312
2010-06-21,12.2928,12.5612,12.2928,12.5612,10027875.421526
2010-06-22,12.4127,12.5091,12.3436,12.3959,5151303.7064173
2010-06-23,12.3605,12.4649,12.3333,12.3605,6005690.3378044
2010-06-24,12.3605,12.4303,12.2237,12.2237,4872314.1280216
2010-06-25,12.2583,12.3744,12.2267,12.2267,6280846.5920226
2010-06-28,12.2444,12.2818,12.0685,12.12,2023719.1227936
2010-06-29,12.12,12.1479,12.0171,12.0516,6738042.9104296
2010-06-30,12.0516,12.1892,12.034,12.0516,2986551.1614686
2010-07-01,12.0516,12.3164,11.9891,12.2583,6633550.4912167
2010-07-02,12.1479,12.3959,12.1479,12.1899,4986971.1794537
2010-07-05,12.1966,12.231,12.12,12.1237,699896.460009
2010-07-06,12.1479,12.3472,12.1414,12.3472,1361693.5667717
2010-07-07,12.192,12.3605,12.1715,12.326,6022735.6441411
2010-07-08,12.3959,12.5612,12.2583,12.3583,12266565.297265
2010-07-09,12.3649,12.4443,12.2715,12.4303,1232611.5763991
2010-07-12,12.3959,12.8083,12.3406,12.8083,7388231.2592986
2010-07-13,12.7503,13.0142,12.7503,13.0142,7624279.1760423
